CT&人力配置汇总表,,,,,,,,,,,,,,,,,,,,,,,,
BP16WH0001001,Line2,13,19,22,,,,,,,,,,,,,,,Citroen,ZOHe,TX9,OEM,?57(283x26) Cast Iron,
BP16WH0001002,Line2,13,19,22,,,,,,,,,,,,,,,Citroen,ZOHe,TX9,OEM,?57(283x26) Cast Iron,
0204L68905,Line3,17,15,24,,,,,,,2.8,1,1,18,7,13,,,Peugeot,ZOHe+APB-Mi gen2,TX9,OEM,?42 (308x12) Cast Iron,
0204L68906,Line3,17,15,24,,,,,,,2.8,1,1,18,7,13,,,Peugeot,ZOHe+APB-Mi gen2,TX9,OEM,?42 (308x12) Cast Iron,
0204L68906,Line3,17,15,24,,,,,,,2.8,1,1,18,7,13,,,Peugeot,ZOHe+APB-Mi gen2,TX9,OEM,?42 (308x12) Cast Iron,
0204L68921,Line3,17,15,24,,,,,,,2.8,1,1,18,7,13,,,Citroen,ZOHe+APB-Mi gen2,X81,OEM,?42 (308x12) Cast Iron,
0204L68922,Line3,17,15,24,,,,,,,2.8,1,1,18,7,13,,,Citroen,ZOHe+APB-Mi gen2,X81,OEM,?42 (308x12) Cast Iron,
0204L76765,Line3,17,15,24,,,,,,,2.8,1,1,18,7,13,,,DS,ZOHe+APB-Mi gen2,B751,OEM,?38 (290x12) ,
0204L76765,Line3,17,15,24,,,,,,,2.8,1,1,18,7,13,,,DS,ZOHe+APB-Mi gen2,B751,OEM,?38 (290x12) ,
0204L76765,Line3,17,15,24,,,,,,,2.8,1,1,18,7,13,,,DS,ZOHe+APB-Mi gen2,B751,OEM,?38 (290x12) ,
0204L76765,Line3,17,15,24,,,,,,,2.8,1,1,18,7,13,,,DS,ZOHe+APB-Mi gen2,B751,OEM,?38 (290x12) ,
0204L60848,MGU1,,,,,,,,,,,,,18,7,3,,,GWM,MGU,CHB031,OEM,,
0204L71549,Line3,17,15,24,,,,,,,2.8,1,1,,,,,,Haima,ZOHe+APB-Mi gen1,VB00,OEM,?38 Cast Iron,
0204L71550,Line3,17,15,24,,,,,,,2.8,1,1,,,,,,Haima,ZOHe+APB-Mi gen1,VB00,OEM,?38 Cast Iron,
204804480,Line1,14,22,27,,,,,,,,,,,,,,,JMC,ZOH,N330 SUV,OEM,?57 (292x26) Cast Iron,
204804481,Line1,14,22,27,,,,,,,,,,,,,,,JMC,ZOH,N330 SUV,OEM,?57 (292x26) Cast Iron,
0204L60899,Line1,10,22,30,16,2,1,14,2,1,14,1,1,,,,,,JMC,ZOH+BIR3,N330 SUV,OEM,?38 (284x9) Cast Iron,
0204L60900,Line1,10,22,30,16,2,1,14,2,1,14,1,1,,,,,,JMC,ZOH+BIR3,N330 SUV,OEM,?38 (284x9) Cast Iron,
0204L67133,Line3,17,15,24,,,,,,,2.8,1,1,,,,,,JMC,ZOHe+APB-Mi 38 (268*12) Cast Iron gen1,N330 SUV,OEM,,
0204L67134,Line3,17,15,24,,,,,,,2.8,1,1,,,,,,JMC,ZOHe+APB-Mi 38 (268*12) Cast Iron gen1,N330 SUV,OEM,,
0204L65474,Line1,14,22,27,,,,,,,,,,,,,,,Ford,ZOH,V362,OEM,?48x2 (300x28) Cast Iron,
0204L65475,Line1,14,22,27,,,,,,,,,,,,,,,Ford,ZOH,V362,OEM,?48x2 (300x28) Cast Iron,
0204L65476,Line1,14,22,27,,,,,,,,,,,,,,,Ford,ZOH,V362,OEM,?48x2 (300x28) Cast Iron,
0204L65477,Line1,14,22,27,,,,,,,,,,,,,,,Ford,ZOH,V362,OEM,?48x2 (300x28) Cast Iron,
0204L65522,Line1,14,22,27,,,,,,,,,,,,,,,Ford,ZOH,V362,OEM,?48x2 (300x28) Cast Iron,
0204L65523,Line1,14,22,27,,,,,,,,,,,,,,,Ford,ZOH,V362,OEM,?48x2 (300x28) Cast Iron,
0204L66072,Line1,14,23,30,16,2,1,14,2,1,14,1,1,,,,,,Ford,ZOH+BIR3plus (15''),V362,OEM,?48 (280x16) Cast Iron,
0204L66073,Line1,14,23,30,16,2,1,14,2,1,14,1,1,,,,,,Ford,ZOH+BIR3plus (15''),V362,OEM,?48 (280x16) Cast Iron,
0204L66089,Line1,14,23,30,16,2,1,,,,,,,,,,,,Ford,ZOH+BIR3plus (16''),V362,OEM,?48 (280x16) Cast Iron,
0204L66090,Line1,14,23,30,16,2,1,,,,,,,,,,,,Ford,ZOH+BIR3plus (16''),V362,OEM,?48 (280x16) Cast Iron,
0204L78273,Line3,17,15,24,,,,,,,2.8,1,1,18,7,13,,,DFM,APB-Mi 38 Gen2,S50,OEM,,
0204L78274,Line3,17,15,24,,,,,,,2.8,1,1,18,7,13,,,DFM,APB-Mi 38 Gen2,S50,OEM,,
0204L77955,Line3,17,15,24,,,,,,,2.8,1,1,,,,,,DFM,ZOH 54 (296*28) Cast Iron,S500,OEM,,
0204L77956,Line3,17,15,24,,,,,,,2.8,1,1,,,,,,DFM,ZOH 54 (296*28) Cast Iron,S500,OEM,,
0204L78071,Line1,14,23,30,16,2,1,14,2,1,14,1,1,,,,,,DFM,ZOHe 38,S500,OEM,,
0204L78072,Line1,14,23,30,16,2,1,14,2,1,14,1,1,,,,,,DFM,ZOHe 38,S500,OEM,,
0204L82624,Line3,17,15,24,,,,,,,2.8,1,1,18,7,13,,,DFM,APB-Mi 38 Gen2,SX5,OEM,,
0204L82625,Line3,17,15,24,,,,,,,2.8,1,1,18,7,13,,,DFM,APB-Mi 38 Gen2,SX5,OEM,,
0204L77735,Line3,17,15,24,,,,,,,2.8,1,1,18,7,13,,,GAC,ZOHe+APB-Mi Gen2,A30-1,OEM,,
0204L77736,Line3,17,15,24,,,,,,,2.8,1,1,18,7,13,,,GAC,ZOHe+APB-Mi Gen2,A30-1,OEM,,
0204L77735,Line3,17,15,24,,,,,,,2.8,1,1,18,7,13,,,GAC,ZOHe+APB-Mi Gen2,A30-1,OEM,,
0204L77736,Line3,17,15,24,,,,,,,2.8,1,1,18,7,13,,,GAC,ZOHe+APB-Mi Gen2,A30-1,OEM,,
0204L80780,Line3,17,15,24,,,,,,,2.8,1,1,,,,,,DFM,ZOH 54 (296*28) Cast Iron,S500,OEM,,
0204L80781,Line3,17,15,24,,,,,,,2.8,1,1,,,,,,DFM,ZOH 54 (296*28) Cast Iron,S500,OEM,,
0204L80783,Line1,10,22,30,16,2,1,14,2,1,14,1,1,,,,,,DFM,ZOHe 38,S500,OEM,,
0204L80784,Line1,10,22,30,16,2,1,14,2,1,14,1,1,,,,,,DFM,ZOHe 38,S500,OEM,,
0204L618042CF,Piston,,,,22,2,1,,,,,,,,,,,,INJA,Piston & Cartridge export to chkP,,Internal,Piston & Cartridge export to chkP,
0204L618052CF,Piston,,,,22,2,1,,,,,,,,,,,,INJA,Piston & Cartridge export to chkP,,Internal,Piston & Cartridge export to chkP,
0204L700232CF,Cartridge,,,,,,,14,2,1,,,,,,,,,INJA,Piston & Cartridge export to chkP,,Internal,Piston & Cartridge export to chkP,
0204L700242CF,Cartridge,,,,,,,14,2,1,,,,,,,,,INJA,Piston & Cartridge export to chkP,,Internal,Piston & Cartridge export to chkP,
02040060502CD,Line1,14,23,27,,,,,,,,,,,,,,,Mercedes-Benz,FJDA NCV2  FRONT DISC BRAKE,,,,
02040060512CD,Line1,14,23,27,,,,,,,,,,,,,,,Mercedes-Benz,FJDA NCV2  FRONT DISC BRAKE,,,,
02040060522CD,Line1,14,23,27,,,,,,,,,,,,,,,Mercedes-Benz,FJDA NCV2  REAR DISC BRAKE,,,,
02040060532CD,Line1,14,23,27,,,,,,,,,,,,,,,Mercedes-Benz,FJDA NCV2  REAR DISC BRAKE,,,,
02047194251MC,Line1,14,23,30,16,2,1,14,2,1,14,1,1,,,,,,BYD,BYD F6 RDB LH ZOHBIR3 D38 260x9,,,,
02047194261MC,Line1,14,23,30,16,2,1,14,2,1,14,1,1,,,,,,BYD,BYD F6 RDB RH ZOHBIR3 D38 260x9,,,,
02047499651MC,Line1,14,23,30,16,2,1,14,2,1,14,1,1,,,,,,BYD,BYD S6 rear caliper RH,,,,
0204789909H1MC,Line1,14,22,27,,,,,,,,,,,,,,,BYD,TIG FRONT BRAKE LH,,,,
0204789910H1MC,Line1,14,22,27,,,,,,,,,,,,,,,BYD,TIG FRONT BRAKE RH,,,,
02048015225P0,Line2,13,19,22,,,,,,,,,,,,,,,DPCA,DPCA T91/T93 Front Brake LH,,,,
02048015235P0,Line2,13,19,22,,,,,,,,,,,,,,,DPCA,DPCA T91/T93 Front Brake RH,,,,
0204805359H1MC,Line1,14,23,27,,,,,,,,,,,,,,,BYD,E6A FRONT BRAKE LH,,,,
0204805360H1MC,Line1,14,23,27,,,,,,,,,,,,,,,BYD,E6A FRONT BRAKE RH,,,,
0204L615752B3,Line3,17,15,24,,,,,,,2.8,1,1,,,,,,Geely,Geely FE-7 APB-Mi? Left caliper,,,,
0204L615762B3,Line3,17,15,24,,,,,,,2.8,1,1,,,,,,Geely,Geely FE-7 APB-Mi? Right caliper,,,,
0204L61715H2B3,Line3,17,15,24,,,,,,,2.8,1,1,,,,,,Geely,Geely KC-1 APB-Mi? ZOHe D42 Left caliper,,,,
0204L61716H2B3,Line3,17,15,24,,,,,,,2.8,1,1,,,,,,Geely,Geely KC-1 APB-Mi? ZOHe D42 Right caliper,,,,
0204L64972H98H,Line1,10,23,30,16,2,1,14,2,1,14,1,1,,,,,,GAC,A28? Rear left bir caliper,,,,
0204L64973H98H,Line1,10,23,30,16,2,1,14,2,1,14,1,1,,,,,,GAC,A28? Rear right bir caliper,,,,
0204L76177D1MC,Line1,14,23,27,,,,,,,,,,,,,,,BYD,S6DM FRONT BRAKE LH,,,,
0204L76177H1MC,Line1,14,23,27,,,,,,,,,,,,,,,BYD,S6DM FRONT BRAKE LH,,,,
0204L76178D1MC,Line1,14,23,27,,,,,,,,,,,,,,,BYD,S6DM FRONT BRAKE RH,,,,
0204L76178H1MC,Line1,14,23,27,,,,,,,,,,,,,,,BYD,S6DM FRONT BRAKE RH,,,,
0204L799755P0,Line3,17,15,24,,,,,,,2.8,1,1,,,,,,DPCA,DPCA T91/T93 Rear Brake LH,,,,
0204L799765P0,Line3,17,15,24,,,,,,,2.8,1,1,,,,,,DPCA,DPCA T91/T93 Rear Brake RH,,,,
0204L608992E3,Line1,10,23,30,16,2,1,14,2,1,14,1,1,,,,,,JMC,N330 BIR REAR BRAKE LH,,,,
0204L609002E3,Line1,10,23,30,16,2,1,14,2,1,14,1,1,,,,,,JMC,N330 BIR REAR BRAKE RH,,,,
0204L671332E3,Line3,17,15,24,,,,,,,2.8,1,1,,,,,,JMC,N330 ZOHe MoC D38 LH,,,,
0204L671342E3,Line3,17,15,24,,,,,,,2.8,1,1,,,,,,JMC,N330 ZOHe MoC D38 RH,,,,
0204L715492Y8,Line2,18,19,29,,,,,,,,,,,,,,,Haima,HAIM VB00 APB-Mi D38 LH,,,,
0204L715502Y8,Line2,18,19,29,,,,,,,,,,,,,,,Haima,HAIM VB00 APB-Mi D38 LH,,,,
0204L845950CD,AA,,,,,,,,,,,,,,,,10,1,JMC,,,,,售后
0204L846740CD,Line1,14,13,12,16,2,1,14,2,1,14,1,1,,,,,,JMC,,,,,售后
0204L846750CD,Line1,14,13,12,16,2,1,14,2,1,14,1,1,,,,,,JMC,,,,,售后
0204L846760CD,Line1,14,13,12,16,2,1,14,2,1,14,1,1,,,,,,JMC,,,,,售后
0204L846770CD,Line1,14,13,12,16,2,1,14,2,1,14,1,1,,,,,,JMC,,,,,售后
0204L845870CD,Line1,14,7,17,,,,,,,,,,,,,,,JMC,,,,,售后
0204L845910CD,Line1,14,7,17,,,,,,,,,,,,,,,JMC,,,,,售后
0204L845860CD,Line1,14,7,17,,,,,,,,,,,,,,,JMC,,,,,售后
0204L845900CD,Line1,14,7,17,,,,,,,,,,,,,,,JMC,,,,,售后
0204L845850CD,Line1,14,12,12,16,2,1,14,2,1,14,1,1,,,,,,JMC,,,,,售后
0204L845890CD,Line1,14,12,12,16,2,1,14,2,1,14,1,1,,,,,,JMC,,,,,售后
0204L845840CD,Line1,14,12,12,16,2,1,14,2,1,14,1,1,,,,,,JMC,,,,,售后
0204L845880CD,Line1,14,12,12,16,2,1,14,2,1,14,1,1,,,,,,JMC,,,,,售后
0204L846780CD,Line1,14,7,17,,,,,,,,,,,,,,,JMC,,,,,售后
0204L846790CD,Line1,14,7,17,,,,,,,,,,,,,,,JMC,,,,,售后
0204L846800CD,Line1,14,7,17,,,,,,,,,,,,,,,JMC,,,,,售后
0204L846810CD,Line1,14,7,17,,,,,,,,,,,,,,,JMC,,,,,售后
0204L845960CD,AA,,,,,,,,,,,,,,,,60,1,JMC,,,,,售后
0204L846820CD,AA,,,,,,,,,,,,,,,,60,1,JMC,,,,,售后
0204L845970CD,AA,,,,,,,,,,,,,,,,10,1,JMC,,,,,售后
0204L845920CD,AA,,,,,,,,,,,,,,,,72,2,JMC,,,,,售后
0204L845930CD,AA,,,,,,,,,,,,,,,,72,1,JMC,,,,,售后
0204L846830CD,AA,,,,,,,,,,,,,,,,72,1,JMC,,,,,售后
0204L846840CD,AA,,,,,,,,,,,,,,,,20,1,JMC,,,,,售后
0204L845940CD ,AA,,,,,,,,,,,,,,,,20,1,JMC,,,,,售后
0204L65668L98H,Line2,,,,,,,,,,,,,,,,,,,,,,,
0204L65669L98H,Line2,,,,,,,,,,,,,,,,,,,,,,,
0204L689215P0,Line3,17,15,24,,,,,,,2.8,1,1,18,7,13,,,DPCA,X81MOC,,,,
0204L689225P0,Line3,17,15,24,,,,,,,2.8,1,1,18,7,13,,,DPCA,X81MOC,,,,
0204L717195P0,Line3,17,15,24,,,,,,,2.8,1,1,18,7,13,,,,T88R/B73RC MoC D38 LH,,,,
0204L717205P0,Line3,17,15,24,,,,,,,2.8,1,1,18,7,13,,,,T88R/B73RC MoC D38 RH,,,,
0204L60848,MGU1,,,,,,,,,,,,,18,7,3,,,MOTOR GEAR UNIT,,,,,
0204L72023,MGU1,,,,,,,,,,,,,18,7,3,,,MGU GEN2 WITH TYCO CONNECTOR,,,,,
0204L9025002Q,AA,,,,,,,,,,,,,,,,36,1,VB00 REAR PAD KIT,,,,,
0204L9069002Q,AA,,,,,,,,,,,,,,,,20,1,VB00 REAR PAD SPRING KIT,,,,,
0204L9069102Q,AA,,,,,,,,,,,,,,,,10,1,VB00 REAR PIN SCREW KIT,,,,,
0204L9025102Q,Line2,18,19,29,,,,,,,2.8,1,1,,,,,,VB00 REAR BRAKE LH,,,,,
0204L9025202Q,Line2,18,19,29,,,,,,,2.8,1,1,,,,,,VB00 REAR BRAKE RH,,,,,
02047496031MC,AA,,,,,,,,,,,,,,,,0,0,MOTOR GEAR UNIT（直接出货原材料）,,,,,
0204775105C1MC,AA,,,,,,,,,,,,,,,,0,0,SPINDLE-NUT ASSEMBLY ,,,,,
02042091571MC,AA,,,,,,,,,,,,,,,,0,0,Bearing Washer,,,,,
02042091561MC,AA,,,,,,,,,,,,,,,,0,0,Thrust Bearing,,,,,
02047707551MC,AA,,,,,,,,,,,,,,,,0,0,Sintered Bushing,,,,,
0204796782C1MC,AA,,,,,,,,,,,,,,,,0,0,Internal O-ring,,,,,
02047738831MC,AA,,,,,,,,,,,,,,,,0,0,Retaining Washer,,,,,
0204780540C1MC,AA,,,,,,,,,,,,,,,,0,0,O-ring between caliper,,,,,
0204L809024LD,AA,9,20,24,,,,,,,,,,,,,,,GAC A68 FL Caliper AA,,,,,
0204L809034LD,AA,9,20,24,,,,,,,,,,,,,,,GAC A68 FR Caliper AA,,,,,
0204797921K37,AA,,,,,,,,,,,,,,,,0,0,V348 rear pad AA kit,,,,,
0204L906214LD,AA,,,,,,,,,,,,,,,,0.02,2,GAC A68 PAD KIT,,,,,
0204L908124LD,AA,,,,,,,,,,,,,,,,0.02,2,GAC A68 PAD KIT,,,,,
0204L82379K37,AA,14,23,29,,,,,,,,,,,,,,,BYD S6DM Caliper FL W/O Pad,,,,,
0204L82380K37,AA,14,23,29,,,,,,,,,,,,,,,BYD S6DM Caliper FR W/O Pad,,,,,
0204L704972B3,AA,18,18,23,,,,,,,,,,,,,,,Geely FE-5&7 Caliper FL,,,,,
0204L704982B3,AA,18,18,23,,,,,,,,,,,,,,,Geely FE-5&7 Caliper FR,,,,,
0204L835552B3,AA,17,15,24,,,,,,,,,,,,,,,Geely FE-7 APB-Mi? Left red caliper,,,,,
0204L835562B3,AA,17,15,24,,,,,,,,,,,,,,,Geely FE-7 APB-Mi? Right red caliper,,,,,
0204L840972B3,AA,17,15,24,,,,,,,,,,,,,,,Geely FE-5&7 Red Caliper FL,,,,,
0204L840982B3,AA,17,15,24,,,,,,,,,,,,,,,Geely FE-5&7 Red Caliper FR,,,,,
0204L615152B3,AA,14,23,29,,,,,,,,,,,,,,,Geely KC-1 Caliper FL,,,,,
0204L615162B3,AA,14,23,29,,,,,,,,,,,,,,,Geely KC-1 Caliper FR,,,,,
0204L689531MC,AA,30,13,20,,,,,,,,,,,,,,,V348打磨件,,,,,
0204L689541MC,AA,30,13,20,,,,,,,,,,,,,,,V348打磨件,,,,,
0204L62162K37,AA,14,16,25,,,,,,,,,,,,,,,S6 AA,,,,,
0204L62163K37,AA,14,16,25,,,,,,,,,,,,,,,S6 AA,,,,,
0204L779555G3,Line2,9,19,22,,,,,,,,,,,,,,,BM3-3501030,S500 Caliper FL,,,,
0204L779565G3,Line2,9,19,22,,,,,,,,,,,,,,,BM3-3501040,S500 Caliper FR,,,,
0204L915392E3,AA,14,15,20,,,,,,,,,,,,,,,V348 Front Brake LH,,,,,
0204L915402E3,AA,14,15,20,,,,,,,,,,,,,,,V348 Front Brake RH,,,,,
0204L689055P0,Line3,17,15,24,,,,,,,2.8,1,1,18,7,13,,,DPCA TX9? Moc LH ,,,,,
0204L689065P0,Line3,17,15,24,,,,,,,2.8,1,1,18,7,13,,,DPCA TX9? Moc RH ,,,,,
0204L7773598H,Line3,17,15,24,,,,,,,2.8,1,1,18,7,13,,,A30? Rear left APB-Mi caliper,,,,,
0204L7773698H,Line3,17,15,24,,,,,,,2.8,1,1,18,7,13,,,A30? Rear right APB-Mi caliper,,,,,
0204L793945W4,Line3,17,15,24,,,,,,,2.8,1,1,18,7,13,,,Baic B20 APB-MI D38 LH,,,,,
0204L793955W4,Line3,17,15,24,,,,,,,2.8,1,1,18,7,13,,,Baic B20 APB-MI D38 RH,,,,,
0204L916990CD,Line2,9,9,18,,,,,,,,,,,,,,,右前卡钳体分总成维修包,,,,,
0204L916980CD,Line2,9,9,18,,,,,,,,,,,,,,,左前卡钳体分总成维修包,,,,,
0204L917000CD,Line2,9,8,18,,,,,,,,,,,,,,,支架分总成维修包,,,,,
0204L917010CD,AA,,,,,,,,,,,,,,,,20,1,前制动摩擦块维修包,,,,,
0204L917020CD,AA,,,,,,,,,,,,,,,,10,1,放气螺钉,,,,,
0204L917030CD,AA,,,,,,,,,,,,,,,,10,1,放气螺钉防尘罩,,,,,
0204L915140GL,Line2,18,19,29,,,,,,,2.8,1,1,,,,,,Geely FE-7 MoC Brake LH Kit,,,,,
0204L915150GL,Line2,18,19,29,,,,,,,2.8,1,1,,,,,,Geely FE-7 MoC Brake RH ,,,,,
0204L915160GL,Line3,17,15,24,,,,,,,2.8,1,1,18,7,13,,,Geely FE-5/7 MoC Red Brake LH Kit,,,,,
0204L915170GL,Line3,17,15,24,,,,,,,2.8,1,1,18,7,13,,,Geely FE-5/7 MoC Red Brake RH Kit,,,,,
0204L915180GL,AA,,,,,,,,,,,,,,,,72,2,Geely FE-5/7 MoC Pad Kit,,,,,
0204L915190GL,AA,,,,,,,,,,,,,,,,10,2,Geely FE-5/7 MoC Bleed Screw Kit,,,,,
